country,iso3,staffcount,staffcity,ofac,popurban,poptotal,disasters,conflict,security,vuln,coping,emdat,usaid,oda,top25,usmigr,ctpall,ctparc,iroccash,irocpeople,irocsupp,isdstaff,ifrcoffice,fy16cbh,fy16dr,fy16measles,fyresilience,fy16od,fy16urbandp
Afghanistan,AFG,,,0,3,4,5.5,10,0,7.2,8,5,10,10,1,1,0,0,10,0,0,0,10,0,0,0,0,0,0
Albania,ALB,,,0,1,1,5.1,0.3,9.7,1.6,4.8,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,,,0,5,5,3.6,8,2,3.4,4.9,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0
Andorra,AND,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,,,0,3,4,2,2.6,7.4,4.6,7.1,4,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,AIA,,,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,,,0,1,1,3.7,0,10,1.4,3.5,1,0,1,1,1,10,0,0,0,0,0,0,0,0,0,10,0,0
Argentina,ARG,,,0,6,5,3.1,1.7,8.3,1.5,3.7,2,1,2,7,3,10,10,0,10,0,0,10,0,0,0,10,0,0
Armenia,ARM,,,0,1,1,3.8,0.1,9.9,3,5,2,4,4,1,3,0,0,0,0,0,0,10,10,0,0,0,0,0
Aruba,ABW,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,,,0,5,4,5.7,0.1,9.9,1.7,2.1,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,,,0,2,2,2.3,0.1,9.9,2.1,1.7,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,,,0,2,2,3.8,0.5,9.5,4.6,5,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,,,0,1,1,0.1,0.1,9.9,1.4,3,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,3,Dhaka,0,7,8,8.6,5,5,4.8,5.7,8,7,9,2,2,10,10,10,10,0,7,10,0,10,0,10,10,10
Barbados,BRB,,,0,1,1,1.7,0,10,1.6,2.6,1,1,0,2,2,0,0,0,0,0,0,10,0,0,0,10,0,0
Belarus,BLR,,,targeted,3,2,1.8,1.3,8.7,1,3.4,1,2,2,2,2,10,0,0,0,0,0,0,10,0,0,0,10,0
Belgium,BEL,,,0,3,3,1.4,0,10,1.8,1.5,1,0,0,6,2,0,0,0,0,0,0,10,0,0,0,0,0,0
Belize,BLZ,,,0,1,1,4.8,0,10,2,4.9,1,1,1,1,2,10,10,10,10,0,0,0,0,0,0,10,10,10
Benin,BEN,,,0,2,3,1.2,1.3,8.7,4.6,7.2,3,3,5,1,1,0,0,0,0,0,0,0,10,0,10,0,0,0
Bermuda,BMU,,,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,,,0,1,1,2.8,0.1,9.9,3.1,5,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,,,0,3,3,3.4,0.7,9.3,2.7,5.5,3,1,6,3,2,10,0,10,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,,,0,1,2,3.8,1.8,8.2,4.7,4.6,2,4,5,1,3,10,10,10,10,0,0,10,0,0,0,0,0,0
