filename,title
overall_maps.png,Summary - Analysis
overall_maps2.png,Summary - Factors
priority_maps_legal-01-overall.png,Overall Prioritization
bottom_20_updated.png,Bottom 20 Analysis
priority_maps_legal-02-disasters.png,Natural Disasters
priority_maps_legal-03-vulnerability.png,Vulnerability
priority_maps_legal-04-coping.png,Lack of Coping Capacity
priority_maps_legal-06-oda.png,Official Development Assistance
priority_maps_legal-07-ifrc.png,Presence of IFRC Office
priority_maps_legal-08-deployments.png,Previous Emergency Deployments
priority_maps_legal-09-staff.png,Existing ISD Staff
